Rank,Release Group,Worldwide,Domestic,%,Foreign,%
68,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%
69,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
70,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%
71,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%
72,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%
73,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%
74,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%
75,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%
76,I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%
77,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%
78,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%
79,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%
80,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%
81,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%
82,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%
83,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%
84,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
85,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%
86,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%
87,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%
88,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%
89,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%
90,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%
91,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%
92,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%
93,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%
94,Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%
95,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%
96,Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%
97,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%
98,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%
99,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%
100,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%
101,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%
102,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%
103,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%
104,Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%
105,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%
106,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%
107,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%
108,Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%
109,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
110,Tyler Perry's Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%
111,Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.8%,"$44,949,251",97.2%
112,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
113,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
114,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%
115,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%
116,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%
117,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%
118,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%
119,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%
120,Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%
121,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%
122,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%
123,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%
124,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%
125,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%
126,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%
127,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%
128,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%
129,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%
130,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%
131,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%
132,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
133,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%
134,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
135,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%
136,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%
137,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%
138,Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%
139,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%
140,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%
141,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%
142,Mirai,"$27,526,961","$812,794",3%,"$26,714,167",97%
143,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%
144,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%
145,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%
146,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%
147,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%
148,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%
149,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%
150,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%
151,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%
152,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%
153,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%
154,Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%
155,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%
156,Big Brother,"$22,029,250","$85,624",0.4%,"$21,943,626",99.6%
157,Master Z: The Ip Man Legacy,"$21,832,649","$209,454",1%,"$21,623,195",99%
158,Proud Mary,"$21,753,365","$20,877,013",96%,"$876,352",4%
159,The Prodigy,"$21,150,265","$14,856,291",70.2%,"$6,293,974",29.8%
160,Gonjiam: Haunted Asylum,"$21,041,950","$115,252",0.5%,"$20,926,698",99.5%
161,My Hero Academia: Two Heroes,"$21,022,724","$5,754,556",27.4%,"$15,268,168",72.6%
162,SuperFly,"$20,780,685","$20,545,116",98.9%,"$235,569",1.1%
163,If Beale Street Could Talk,"$20,596,567","$14,915,773",72.4%,"$5,680,794",27.6%
164,Burn the Stage: The Movie,"$20,347,513","$4,201,819",20.7%,"$16,145,694",79.3%
165,Cold War 2018 Re-release,"$20,296,042","$4,580,048",22.6%,"$15,715,994",77.4%
166,The Wife,"$19,978,189","$9,601,092",48.1%,"$10,377,097",51.9%
167,They Shall Not Grow Old,"$19,866,389","$17,956,913",90.4%,"$1,909,476",9.6%
168,Everybody Knows,"$19,176,163","$2,660,165",13.9%,"$16,515,998",86.1%
169,Oolong Courtyard: KungFu School,"$19,129,015","$37,727",0.2%,"$19,091,288",99.8%
170,Detective K: Secret of the Living Dead,"$18,603,476","$104,013",0.6%,"$18,499,463",99.4%
171,Airpocalypse,"$18,491,089","$105,678",0.6%,"$18,385,411",99.4%
172,Zero,"$18,412,196","$1,035,388",5.6%,"$17,376,808",94.4%
173,Chappaquiddick,"$18,263,470","$17,395,520",95.2%,"$867,950",4.8%
174,Sorry to Bother You,"$18,170,707","$17,493,096",96.3%,"$677,611",3.7%
175,Hell Fest,"$18,159,691","$11,107,431",61.2%,"$7,052,260",38.8%
176,The Old Man & the Gun,"$17,860,397","$11,277,120",63.1%,"$6,583,277",36.9%
177,The Children Act,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%
178,Operation Finale,"$17,612,099","$17,612,099",100%,-,-
179,Loving Pablo,"$17,535,962","$22,017",0.1%,"$17,513,945",99.9%
180,102 Not Out,"$16,758,596","$1,343,797",8%,"$15,414,799",92%
181,Beautiful Boy,"$16,636,604","$7,649,973",46%,"$8,986,631",54%
182,Upgrade,"$16,593,554","$11,977,130",72.2%,"$4,616,424",27.8%
183,Forever My Girl,"$16,376,066","$16,376,066",100%,-,-
184,Unfriended: Dark Web,"$16,024,987","$8,866,745",55.3%,"$7,158,242",44.7%
185,Finding Your Feet,"$15,845,593","$1,418,682",9%,"$14,426,911",91%
186,Feng Shui,"$15,702,302","$64,147",0.4%,"$15,638,155",99.6%
187,Tully,"$15,636,462","$9,369,755",59.9%,"$6,266,707",40.1%
188,The Negotiation,"$15,229,193","$110,986",0.7%,"$15,118,207",99.3%
189,Made in India,"$14,751,915","$790,628",5.4%,"$13,961,287",94.6%
190,RBG,"$14,441,292","$14,017,361",97.1%,"$423,931",2.9%
191,Eighth Grade,"$14,347,433","$13,539,709",94.4%,"$807,724",5.6%
192,Unsane,"$14,293,601","$7,732,899",54.1%,"$6,560,702",45.9%
193,Colette,"$14,273,033","$5,137,622",36%,"$9,135,411",64%
194,Ya veremos,"$14,134,723","$4,165,949",29.5%,"$9,968,774",70.5%
195,Kedarnath,"$13,999,297","$901,131",6.4%,"$13,098,166",93.6%
196,The Quake,"$13,837,294","$6,235",<0.1%,"$13,831,059",100%
197,Three Identical Strangers,"$13,448,497","$12,320,845",91.6%,"$1,127,652",8.4%
198,Hotel Artemis,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%
199,The Sisters Brothers,"$13,143,056","$3,143,056",23.9%,"$10,000,000",76.1%
200,Welcome to Marwen,"$13,061,491","$10,763,520",82.4%,"$2,297,971",17.6%
201,Take Point,"$12,908,032","$112,386",0.9%,"$12,795,646",99.1%
202,Luis and the Aliens,"$12,627,729","$169,710",1.3%,"$12,458,019",98.7%
203,Can You Ever Forgive Me?,"$12,442,161","$8,803,865",70.8%,"$3,638,296",29.2%
204,Rampant,"$12,359,573","$167,937",1.4%,"$12,191,636",98.6%
205,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849",$220,<0.1%,"$12,353,629",100%
206,Little Women,"$12,165,890","$1,379,497",11.3%,"$10,786,393",88.7%
207,Boy Erased,"$11,853,081","$6,788,692",57.3%,"$5,064,389",42.7%
208,Unstoppable,"$11,845,347","$101,417",0.9%,"$11,743,930",99.1%
209,Last Letter,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%
210,Ash Is Purest White,"$11,813,509","$422,814",3.6%,"$11,390,695",96.4%
211,Ballon,"$11,799,591","$34,222",0.3%,"$11,765,369",99.7%
212,King of Thieves,"$11,353,515","$7,518",<0.1%,"$11,345,997",99.9%
213,At Eternity's Gate,"$11,235,662","$2,294,915",20.4%,"$8,940,747",79.6%
214,La boda de Valentina,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%
215,Gringo,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%
216,Golden Slumber,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%
217,Red Joan,"$10,647,493","$1,579,730",14.8%,"$9,067,763",85.2%
218,Every Day,"$10,421,847","$6,102,076",58.6%,"$4,319,771",41.4%
219,Swing Kids,"$10,397,408","$222,001",2.1%,"$10,175,407",97.9%
220,Lobster Cop,"$10,373,129","$85,693",0.8%,"$10,287,436",99.2%
221,Kin,"$10,313,019","$5,718,096",55.4%,"$4,594,923",44.6%
222,Girls vs Gangsters,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%
223,The Miracle Season,"$10,230,620","$10,230,620",100%,-,-
224,Ben Is Back,"$10,134,204","$3,703,184",36.5%,"$6,431,020",63.5%
225,Papillon,"$10,060,903","$2,335,896",23.2%,"$7,725,007",76.8%
226,The Princess and the Matchmaker,"$9,899,017","$78,900",0.8%,"$9,820,117",99.2%
227,Traffik,"$9,515,914","$9,186,156",96.5%,"$329,758",3.5%
228,Replicas,"$9,330,075","$4,046,429",43.4%,"$5,283,646",56.6%
229,Mid90s,"$9,303,022","$7,362,439",79.1%,"$1,940,583",20.9%
230,Champion,"$8,974,547","$97,472",1.1%,"$8,877,075",98.9%
231,7 Days in Entebbe,"$8,771,432","$3,326,885",37.9%,"$5,444,547",62.1%
232,Pope Francis: A Man of His Word,"$8,608,385","$2,008,385",23.3%,"$6,600,000",76.7%
233,A-X-L,"$8,467,697","$6,501,381",76.8%,"$1,966,316",23.2%
234,Disobedience,"$8,003,180","$3,498,782",43.7%,"$4,504,398",56.3%
235,Life Itself,"$7,997,774","$4,102,648",51.3%,"$3,895,126",48.7%
236,Suspiria,"$7,942,093","$2,483,472",31.3%,"$5,458,621",68.7%
237,Qué León,"$7,807,916","$2,607,916",33.4%,"$5,200,000",66.6%
238,Amazing Grace,"$7,796,112","$4,450,456",57.1%,"$3,345,656",42.9%
239,Leave No Trace,"$7,682,928","$6,046,104",78.7%,"$1,636,824",21.3%
240,Pandas,"$7,635,778","$7,574,012",99.2%,"$61,766",0.8%
241,Burning,"$7,576,345","$718,991",9.5%,"$6,857,354",90.5%
242,Beirut,"$7,509,436","$5,019,226",66.8%,"$2,490,210",33.2%
243,God's Not Dead: A Light in Darkness,"$7,414,178","$5,728,940",77.3%,"$1,685,238",22.7%
244,Return of the Hero,"$7,362,730","$37,108",0.5%,"$7,325,622",99.5%
245,In Safe Hands,"$7,086,596","$1,737",<0.1%,"$7,084,859",100%
246,Dog Days,"$6,842,356","$6,809,080",99.5%,"$33,276",0.5%
247,Race 3,"$6,817,391","$1,690,861",24.8%,"$5,126,530",75.2%
248,Fahrenheit 11/9,"$6,674,168","$6,352,306",95.2%,"$321,862",4.8%
249,Soorma,"$6,579,645","$390,077",5.9%,"$6,189,568",94.1%
250,Gotti,"$6,412,349","$4,343,227",67.7%,"$2,069,122",32.3%
251,Unbroken: Path to Redemption,"$6,216,897","$6,216,897",100%,-,-
252,Ploey,"$6,146,292","$77,815",1.3%,"$6,068,477",98.7%
253,Mobile Suit Gundam Narrative,"$6,126,259","$259,224",4.2%,"$5,867,035",95.8%
254,Death of a Nation,"$5,885,881","$5,885,881",100%,-,-
255,Incident in a Ghostland,"$5,643,957",-,-,"$5,643,957",100%
256,El Angel,"$5,604,680","$109,608",2%,"$5,495,072",98%
257,Destroyer,"$5,580,940","$1,533,324",27.5%,"$4,047,616",72.5%
258,A Wizard's Tale,"$5,487,261","$2,150",<0.1%,"$5,485,111",100%
259,Never Look Away,"$5,105,444","$1,304,042",25.5%,"$3,801,402",74.5%
260,Action Point,"$5,103,663","$5,059,608",99.1%,"$44,055",0.9%
261,Dogman,"$5,080,147","$148,225",2.9%,"$4,931,922",97.1%
262,Blindspotting,"$5,006,989","$4,333,394",86.5%,"$673,595",13.5%
263,Sgt. Stubby: An American Hero,"$4,932,694","$4,015,935",81.4%,"$916,759",18.6%
264,Samson,"$4,873,825","$4,719,928",96.8%,"$153,897",3.2%
265,Hamlet 2018 Re-release,"$4,630,718","$235,229",5.1%,"$4,395,489",94.9%
266,Bad Samaritan,"$4,623,836","$3,435,047",74.3%,"$1,188,789",25.7%
267,Whitney,"$4,605,123","$3,026,351",65.7%,"$1,578,772",34.3%
268,The Guilty,"$4,598,051","$207,140",4.5%,"$4,390,911",95.5%
269,"Juliet, Naked","$4,511,157","$3,444,895",76.4%,"$1,066,262",23.6%
270,Woman at War,"$4,481,653","$847,495",18.9%,"$3,634,158",81.1%
271,Storm Boy,"$4,323,948","$71,760",1.7%,"$4,252,188",98.3%
272,"Don't Worry, He Won't Get Far on Foot","$4,241,656","$1,441,705",34%,"$2,799,951",66%
273,Ghost Stories,"$4,131,358","$148,747",3.6%,"$3,982,611",96.4%
274,The Fall of the American Empire,"$4,110,928","$2,178,460",53%,"$1,932,468",47%
275,American Animals,"$4,080,073","$2,856,954",70%,"$1,223,119",30%
276,Penguin Highway,"$4,006,647","$104,567",2.6%,"$3,902,080",97.4%
277,A Private War,"$3,915,207","$1,633,208",41.7%,"$2,281,999",58.3%
278,First Reformed,"$3,862,498","$3,448,256",89.3%,"$414,242",10.7%
279,Custody,"$3,790,303","$83,882",2.2%,"$3,706,421",97.8%
280,Night of 7 Years,"$3,716,820","$24,281",0.7%,"$3,692,539",99.3%
281,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893","$3,679,893",100%,-,-
282,Non-Fiction,"$3,649,042","$704,919",19.3%,"$2,944,123",80.7%
283,Indivisible,"$3,589,633","$3,511,417",97.8%,"$78,216",2.2%
284,The Apparition,"$3,562,793","$28,293",0.8%,"$3,534,500",99.2%
285,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123","$3,508,777",99.9%,"$2,346",<0.1%
286,Racetime,"$3,493,043","$1,875,283",53.7%,"$1,617,760",46.3%
287,Great Performances at the Met: Puccini: Tosca,"$3,473,616","$2,023,749",58.3%,"$1,449,867",41.7%
288,The Rider,"$3,434,963","$2,419,031",70.4%,"$1,015,932",29.6%
289,Patrick the Pug,"$3,369,468","$6,290",0.2%,"$3,363,178",99.8%
290,On Chesil Beach,"$3,335,913","$745,971",22.4%,"$2,589,942",77.6%
291,Breath,"$3,322,479","$37,108",1.1%,"$3,285,371",98.9%
292,Wildlife,"$3,321,367","$1,050,616",31.6%,"$2,270,751",68.4%
293,Bharath Ane Nenu,"$3,276,257","$2,663,090",81.3%,"$613,167",18.7%
294,The Front Runner,"$3,242,235","$2,000,105",61.7%,"$1,242,130",38.3%
295,Bohemian Rhapsody 2020 Re-release,"$3,229,431","$240,000",7.4%,"$2,989,431",92.6%
296,Thoroughbreds,"$3,187,255","$3,072,605",96.4%,"$114,650",3.6%
297,Tea With the Dames,"$3,181,152","$889,343",28%,"$2,291,809",72%
298,Made for More,"$2,999,134","$2,999,134",100%,-,-
299,Memoir of War,"$2,980,982","$103,636",3.5%,"$2,877,346",96.5%
300,God Bless the Broken Road,"$2,848,233","$2,846,257",99.9%,"$1,976",<0.1%
301,A Breath Away,"$2,842,040","$77,987",2.7%,"$2,764,053",97.3%
302,McQueen,"$2,739,246","$1,257,275",45.9%,"$1,481,971",54.1%
303,Edie,"$2,731,170","$71,790",2.6%,"$2,659,380",97.4%
304,Billionaire Boys Club,"$2,713,955","$1,349",<0.1%,"$2,712,606",100%
305,The Happy Prince,"$2,621,992","$466,440",17.8%,"$2,155,552",82.2%
306,The Little Mermaid,"$2,610,742","$147,175",5.6%,"$2,463,567",94.4%
307,Leo Da Vinci: Mission Mona Lisa,"$2,588,859","$19,978",0.8%,"$2,568,881",99.2%
308,Assassination Nation,"$2,584,988","$2,005,142",77.6%,"$579,846",22.4%
309,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927","$18,539",0.7%,"$2,551,388",99.3%
310,Birds of Passage,"$2,517,405","$507,259",20.2%,"$2,010,146",79.8%
311,"One Nation, One King","$2,481,681","$6,576",0.3%,"$2,475,105",99.7%
312,Lean on Pete,"$2,443,584","$1,163,056",47.6%,"$1,280,528",52.4%
313,The Breadwinner 2018 Re-release,"$2,426,907",$834,<0.1%,"$2,426,073",100%
314,Hearts Beat Loud,"$2,417,165","$2,386,251",98.7%,"$30,914",1.3%
315,The Man Who Killed Don Quixote,"$2,390,383","$391,963",16.4%,"$1,998,420",83.6%
316,1991,"$2,342,264","$2,342,264",100%,-,-
317,The House That Jack Built 2018 Re-release,"$2,268,962","$87,993",3.9%,"$2,180,969",96.1%
318,Puzzle,"$2,260,946","$2,032,018",89.9%,"$228,928",10.1%
319,An Interview with God,"$2,251,795","$1,201,434",53.4%,"$1,050,361",46.6%
320,At War,"$2,235,052","$4,605",0.2%,"$2,230,447",99.8%
321,3 Faces,"$2,191,516","$72,324",3.3%,"$2,119,192",96.7%
322,Border,"$2,177,678","$771,930",35.4%,"$1,405,748",64.6%
323,Veere Di Wedding,"$2,176,099",-,-,"$2,176,099",100%
324,High Life,"$2,133,033","$1,225,852",57.5%,"$907,181",42.5%
325,Indian Horse,"$2,097,362","$2,097,362",100%,-,-
326,Mary Shelley,"$2,096,600","$108,900",5.2%,"$1,987,700",94.8%
327,Black '47,"$2,073,063","$57,520",2.8%,"$2,015,543",97.2%
328,Under the Silver Lake,"$2,053,469","$46,083",2.2%,"$2,007,386",97.8%
